Date,adjusted_close,volume,direction,Symbol
2016-08-01,124.31,25006850,1,META
2016-07-29,123.94,35058803,0,META
2016-07-28,125.0,78955758,1,META
2016-07-27,123.34,52654239,1,META
2016-07-26,121.22,17611964,0,META
2016-07-25,121.63,18487449,1,META
2016-07-22,121.0,18422410,1,META
2016-07-21,120.61,17801663,0,META
2016-07-20,121.92,20046452,1,META
2016-07-19,120.61,21541292,1,META
2016-07-18,119.37,20868367,1,META
2016-07-15,116.86,16645964,0,META
2016-07-14,117.29,14579736,1,META
2016-07-13,116.78,16207662,0,META
2016-07-12,117.93,15217700,1,META
2016-07-11,117.87,17711570,1,META
2016-07-08,117.24,18142597,1,META
2016-07-07,115.85,16630201,0,META
2016-07-06,116.7,24337586,1,META
2016-07-05,114.0,14207037,0,META
2016-07-01,114.19,14980023,0,META
2016-06-30,114.28,23192716,1,META
2016-06-29,114.16,20968273,1,META
2016-06-28,112.7,26813842,1,META
2016-06-27,108.97,36409606,0,META
2016-06-24,112.08,40643130,0,META
2016-06-23,115.08,16176895,1,META
2016-06-22,113.91,14846329,0,META
2016-06-21,114.38,19166269,1,META
2016-06-20,113.37,20785390,1,META
2016-06-17,113.02,24644308,0,META
2016-06-16,114.39,19236255,0,META
2016-06-15,114.6,19819432,0,META
2016-06-14,114.94,17618479,1,META
2016-06-13,113.95,31718239,0,META
2016-06-10,116.62,18510826,0,META
2016-06-09,118.56,13859240,1,META
2016-06-08,118.39,14505596,1,META
2016-06-07,117.76,17103023,0,META
2016-06-06,118.79,12744676,1,META
2016-06-03,118.47,14135114,0,META
2016-06-02,118.93,13228310,1,META
2016-06-01,118.78,15029494,0,META
2016-05-31,118.81,23547597,0,META
2016-05-27,119.38,13493563,0,META
2016-05-26,119.47,18481340,1,META
2016-05-25,117.89,20035494,1,META
2016-05-24,117.7,20183627,1,META
2016-05-23,115.97,20441004,0,META
2016-05-20,117.35,18944831,1,META
2016-05-19,116.81,20544109,0,META
2016-05-18,117.65,21642299,1,META
2016-05-17,117.35,21328648,0,META
2016-05-16,118.67,31247834,0,META
2016-05-13,119.81,18124286,0,META
2016-05-12,120.28,22035465,1,META
2016-05-11,119.52,22038396,0,META
2016-05-10,120.5,23220046,1,META
2016-05-09,119.24,21138059,0,META
2016-05-06,119.49,26395568,1,META
2016-05-05,117.81,22056749,0,META
2016-05-04,118.06,23448440,1,META
2016-05-03,117.43,24117463,0,META
2016-05-02,118.57,28095168,1,META
2016-04-29,117.58,37140594,1,META
2016-04-28,116.73,87110080,1,META
2016-04-27,108.89,52213107,1,META
2016-04-26,108.76,22521534,0,META
2016-04-25,110.1,21017895,0,META
2016-04-22,110.56,38458201,0,META
2016-04-21,113.44,20875230,1,META
2016-04-20,112.42,21027901,1,META
2016-04-19,112.29,30210455,1,META
2016-04-18,110.45,21167199,1,META
2016-04-15,109.64,20922803,0,META
2016-04-14,110.84,28473322,1,META
2016-04-13,110.51,88227393,0,META
2016-04-12,110.61,26248081,1,META
2016-04-11,108.99,39762304,0,META
2016-04-08,110.63,48497808,0,META
2016-04-07,113.64,20714537,0,META
2016-04-06,113.71,20814640,1,META
2016-04-05,112.22,22962365,0,META
2016-04-04,112.55,48487913,0,META
2016-04-01,116.06,24760504,1,META
2016-03-31,114.1,21207526,0,META
2016-03-30,114.7,33235184,0,META
2016-03-29,116.14,29825340,1,META
2016-03-28,113.69,21351751,1,META
2016-03-24,113.05,17839119,1,META
2016-03-23,112.54,18561974,1,META
2016-03-22,112.25,19001076,1,META
2016-03-21,111.85,18447974,1,META
2016-03-18,111.45,36256877,1,META
2016-03-17,111.02,24241247,0,META
2016-03-16,112.18,24744778,1,META
2016-03-15,110.67,17618460,1,META
2016-03-14,109.89,17249365,1,META
