Date,pcf,PEG_trailing,dpr,npm,gpm,roa,roe,capital_ratio,de_ratio,cash_ratio,curr_ratio,inv_turn,pay_turn,sale_nwc,rd_sale,accrual,gdpr1,gdpr2,cpi,bond20yr,bond30yr,fedfunds,cpir,wpir,unemp,employ,SMA,EMA,STOCH_k,STOCK_d,RSI,MFI,SAR,AD
2013-01-31,7.272,1.221,0.428,0.217,0.793,0.253,0.238,0.142,0.767,2.084,2.754,10.84,3.701,1.427,0.137,-0.137,16553.3475,16441.485,2.3168,2.79,3.17,0.15,1.466,0.6098,8.0,135265.0,26.9249,27.392882915998484,2738.3350253807107,2686.406629035419,30.25362318840581,33.60393799761903,25.58361680722176,6382905499.034038
2013-02-28,7.626,3.465,0.451,0.212,0.799,0.246,0.225,0.138,0.772,2.108,2.747,10.074,3.762,1.367,0.138,-0.125,16553.3475,16441.485,2.3294,2.71,3.1,0.14,1.466,0.6098,7.7,135544.0,27.3199,27.59644145799924,2766.6700507614214,2723.131207502682,100.0,67.49162976213961,25.636544471077325,4048289898.134154
2013-03-28,11.04327409718674,-8.220844972747264,-0.2443347968391237,0.273739957953568,0.7304263386032452,0.2522601814766642,0.1052273086265893,-0.1011845871520868,0.8804807615864032,2.08561833105718,2.283881507395649,11.48920501803255,3.0789898613100464,1.7900869015957448,0.1373181821933717,-0.0727852675660793,16553.3475,16441.485,2.3228,2.71,3.1,0.09,1.466,0.6098,7.5,135689.0,27.951666666666668,28.10072072899962,2849.4579831932774,2784.8210197784697,100.0,100.0,25.687813581655774,2477090420.0412884
2013-04-30,9.053,4.126,0.451,0.212,0.799,0.246,0.225,0.138,0.772,2.108,2.747,10.074,3.762,1.367,0.138,-0.125,16553.3475,16464.402,2.318,2.49,2.88,0.14,1.466,0.6098,7.6,135876.0,29.835,30.60036036449981,3305.4908485856904,2973.872960846796,100.0,100.0,25.74725731002266,2223482637.036424
2013-05-31,9.522,5.571,0.44,0.216,0.799,0.256,0.231,0.135,0.779,2.13,2.753,9.3,3.825,1.356,0.134,-0.114,16553.3475,16464.402,2.3189,2.95,3.3,0.09,1.466,0.6098,7.5,136091.0,32.20166666666667,32.750180182249906,3486.453608247423,3213.8008133421304,100.0,100.0,25.89451216382221,2766527556.73426
2013-06-28,4.7454417216855616,-1.8333323187658015,0.5376122156480331,0.3244508985173354,0.7820851672689615,0.1770638460784569,0.1234072307510062,0.2725932961638397,1.7461724609358202,2.3200521482452614,2.670567124445485,9.965791652505686,3.043415929441483,1.3717323870874545,0.1349634450760104,-0.066043227422821,16553.3475,16464.402,2.3245,3.22,3.52,0.07,1.466,0.6098,7.5,136269.0,34.181666666666665,33.647590091124954,3450.835071707953,3414.2598428470224,94.6616541353384,100.0,26.082221920545763,2005596322.3946784
2013-07-31,8.666,5.082,0.44,0.216,0.799,0.256,0.231,0.135,0.779,2.13,2.753,9.3,3.825,1.356,0.134,-0.114,16553.3475,16594.743,2.329,3.34,3.64,0.09,1.466,0.6098,7.3,136391.0,33.76166666666666,32.74379504556248,3178.2660677646536,3371.851582573343,37.03703703703701,65.24586226950296,26.276177482134848,2018958743.934134
2013-08-30,6.797072209905945,-3.875552107951652,0.2301870327478984,0.1083881070432311,0.732328899704004,0.3652854538818695,0.2689918183848735,-0.0815339829487579,1.0069011134750758,2.1529329763155287,2.7996606425468475,10.426089533233862,3.578227290559284,0.7446215572703749,0.1355662379389357,-0.0706294745200899,16553.3475,16594.743,2.3346,3.46,3.7,0.07,1.466,0.6098,7.2,136635.0,33.26166666666666,33.07189752278124,3334.4829066709603,3321.194682047856,33.76623376623375,64.6526003386891,26.47925193249215,2188844349.917613
2013-09-30,9.633,1.231,0.352,0.281,0.783,0.234,0.294,0.138,0.804,2.058,2.712,10.998,3.934,1.215,0.134,-0.053,16553.3475,16594.743,2.3354,3.41,3.69,0.06,1.466,0.6098,7.2,136819.0,32.84,33.17594876139062,3322.4829066709603,3278.4106270355246,35.57582668187,31.052624196042014,26.653666893842303,1193277176.0769904
2013-10-31,10.251,1.309,0.352,0.281,0.783,0.234,0.294,0.138,0.804,2.058,2.712,10.998,3.934,1.215,0.134,-0.053,16553.3475,16712.76,2.3367,3.33,3.63,0.07,1.466,0.6098,7.2,137039.0,34.02833333333333,34.290474380695315,3534.8412844036698,3397.2690325818635,96.84625492772672,62.779018270328216,26.79559355596546,2664595117.825924
2013-11-29,8.135337091966187,19.52417098037349,0.3187736621646057,0.1093258329011919,0.7352661639765612,0.1294021968481126,0.1719910947365043,0.2309475770604071,0.726917164840098,2.0315977209343146,2.5804520544421905,11.979308511731285,3.7223663354777896,1.2301526009746406,0.1415316912130011,-0.0906378657553219,16553.3475,16712.76,2.341,3.54,3.82,0.07,1.466,0.6098,6.9,137314.0,35.605,36.210237190347655,3808.783378746594,3555.369189940408,97.58551307847088,60.98547795130296,26.98548168484615,4848021172.678308
2013-12-31,10.874,1.337,0.34,0.282,0.786,0.247,0.296,0.137,0.767,2.211,2.826,8.257,3.926,1.296,0.133,-0.044,16553.3475,16712.76,2.3472,3.72,3.96,0.07,1.466,0.6098,6.7,137368.0,36.98166666666666,36.81011859517383,3735.692556634304,3693.105739928189,87.07360861759416,100.0,27.211572051149226,2590319324.492592
