Date,Pos_lag1,Pos_lag2,Pos_lag3,Pos_lag4,Pos_lag5,Neg_lag1,Neg_lag2,Neg_lag3,Neg_lag4,Neg_lag5,Neu_lag1,Neu_lag2,Neu_lag3,Neu_lag4,Neu_lag5
2016-12-30,-1.0773268,-1.2221788,-0.6553187,-0.55957687,-0.7068448,0.85601604,1.5013616,0.3777726,-0.60832334,-0.74172807,1.0289352,0.3732905,0.9840471,1.5985861,2.0671182
2017-01-06,-0.5700891,-0.51261014,-0.50927025,-1.1836607,-1.1895192,0.3837619,0.21755238,0.51661485,1.241355,0.9208338,0.8059912,0.8055878,0.53291196,0.84014904,1.1280959
2017-01-13,-1.1786216,-0.8591396,-0.74916923,-0.98040736,-1.107858,0.99861306,0.48782608,0.6511139,0.68731457,0.56227624,1.0513208,1.1095356,0.6075906,1.1725631,1.1897069
2017-01-20,-1.255552,-0.7508521,-0.4453676,-0.8572363,-0.47195408,1.1364655,0.46980914,0.58209753,0.21691479,-0.4457126,0.8843192,0.8755431,0.44620863,1.3115581,1.5202255
2017-01-27,-1.3535575,-0.9984467,-0.22068256,-1.016128,-1.1836319,1.3097008,0.86079407,0.109027594,1.3561976,1.2139426,0.8612117,0.91151726,0.49289998,0.41569343,0.8150211
2017-02-03,-0.8849942,-0.9122429,-0.27035913,-0.6925762,-1.1372474,0.62740624,0.506209,-0.3172646,0.32049334,1.4405075,1.0152185,1.147976,0.995081,0.97970176,0.43176293
2017-02-10,0.0154681625,-0.8631505,-0.49211922,-0.7084003,-1.2725847,0.33396253,0.7792094,-0.12733819,0.8231598,2.0194485,-0.2228961,0.84416336,1.1200193,0.59292346,0.13983177
2017-02-17,-1.1106904,-0.9436256,-1.0607208,-1.0007876,-1.0289848,1.2458862,1.3682808,1.1518024,0.44601423,0.30227065,0.57715034,0.093169056,0.7638459,1.4143759,1.3313224
2017-02-24,-0.9873787,-0.8893198,-0.6429192,-0.89366657,-0.89415777,0.50987923,0.13013658,0.07496589,-0.08270584,0.6516613,1.1888621,1.5231878,1.0789945,1.7539692,0.8970533
2017-03-03,-1.0027506,-0.5955127,-0.8216645,-0.9898614,-0.014445901,0.6494254,0.10779641,0.75317484,0.54674315,-0.3739924,1.0156605,1.1028279,0.7532905,1.1001962,0.6346988
2017-03-10,-0.7010105,-0.81657207,-1.2445596,-0.92046314,-1.1664131,0.5011144,0.29632992,0.8187927,0.9472412,0.50110346,0.8559168,0.99955356,1.2245318,0.7783476,1.5041014
2017-03-17,-0.98115706,-0.8381914,-0.96250004,0.067830876,-0.5198957,1.4920611,0.8848545,0.6434239,-0.7119199,-0.26103854,0.06179327,0.52860165,1.253433,0.8165201,1.3052456
2017-03-24,-1.1977226,-0.86620563,-0.82760656,-0.80129194,-0.40033904,1.3299077,0.593459,0.37160742,-0.20469287,-0.25154132,0.86186075,1.0132314,1.0623767,1.6165482,1.2914493
2017-03-31,-0.455733,0.047083646,-0.71841556,-0.6561832,-0.5861474,0.5404119,-0.2461875,0.38511664,0.21810873,-0.4016687,0.46591026,0.3806435,0.9189755,0.9805971,1.3416533
2017-04-07,-0.026451161,-0.23061883,-1.2167811,-0.7508678,-0.674104,-0.41991693,0.1453807,1.5388578,0.64892787,-0.7022976,0.6896907,0.59630096,0.31912357,0.57611036,1.9675945
2017-04-13,-0.9454649,-1.0688375,-0.7193935,-1.2386574,-0.59046376,0.98648393,1.344812,0.36017755,1.7455189,-0.25360188,0.5045797,0.329012,0.81455386,0.2289043,1.4478353
2017-04-21,-0.71777844,-1.1108714,-0.61234736,-0.6161564,-0.79114234,0.38339004,0.69632477,0.77536047,0.15752892,0.17188822,0.8267316,0.883481,0.36884388,0.964142,1.17266
2017-04-28,-1.0047064,-0.45056894,-0.93460405,0.050259817,-1.2357392,1.0023882,0.040961333,1.1425841,-0.4802095,0.6412755,0.7139339,1.1286464,0.19435658,0.6170032,1.4150392
2017-05-05,0.96895236,-0.7380333,-0.35295257,-0.6676598,-0.46486065,-1.210455,0.5448711,-0.15928887,0.42321882,0.19242786,-0.015458979,0.65281993,1.0517435,0.6647945,0.71906143
2017-05-12,-1.0022278,-0.5326785,-0.49333358,-0.9158788,-0.6042879,0.41200563,0.05847935,0.18695107,0.38599285,0.117258064,1.2682639,1.0280886,0.806608,1.2345492,1.1116909
2017-05-19,-0.9302785,-1.0019871,-1.2116354,-0.7359574,-0.94556963,0.6774901,0.9754862,1.2488519,0.21424724,0.5792125,1.0283933,0.7118914,0.7464056,1.2053922,1.0656449
2017-05-26,-0.59105325,-0.9926213,-0.53273046,-0.58851224,-0.98557603,-0.13259181,0.65587866,0.02243552,0.169668,0.86263436,1.3082954,0.9177007,1.1108041,1.0453014,0.7954736
2017-06-02,-1.0257246,-1.4884955,-0.88205916,-0.56254387,-1.5121405,0.8121044,2.1712148,0.2458925,-0.26096097,2.1650646,0.9102223,0.2452528,1.3721536,1.3943135,0.20360254
2017-06-09,-1.52614,-1.4381377,-0.65675265,-0.2881968,-0.5226731,2.0515625,1.5092455,0.24515758,-0.5590641,0.1413069,0.20152761,0.9537262,0.91039777,1.2339801,0.8976083
2017-06-16,-0.6798861,-0.85573864,-1.1778358,-0.16139211,-1.2397032,0.23163497,1.2432554,0.80582124,-0.33740047,1.1310852,1.1320893,0.34996957,1.1741251,0.8320339,0.88491887
2017-06-23,-0.33137706,-0.70754886,-0.6148714,-1.0208751,-1.259418,-0.15234183,1.3042554,-0.4165287,1.2169122,0.8088297,0.9709756,-0.31582507,1.5121359,0.52899164,1.3151451
2017-06-30,-1.0044712,-0.81707096,-1.0099442,-0.81494236,-0.65485716,1.1673509,0.46101552,1.3436527,1.0330366,0.17680106,0.5286916,0.8844393,0.31360763,0.24546726,1.0948483
2017-07-07,-1.1248858,-0.7237636,-1.0722187,-1.0318167,-1.3462584,1.0876958,0.3127217,0.331537,1.3623132,1.4724169,0.73671645,1.0589179,1.3211046,0.16778472,0.95023793
2017-07-14,-1.0487827,-0.7920697,-0.86875206,-1.1801512,-1.1337098,1.5550448,0.7281654,0.2907502,1.3621986,0.7973885,0.24188428,0.8919682,1.2363862,0.7162311,1.0405834
2017-07-21,-0.6170613,-0.99871784,-1.278848,-0.94633865,-0.687454,0.35897252,0.61737126,0.9269255,1.1547599,-0.31187215,0.8162541,1.2072964,1.1897099,0.2955587,1.611345
2017-07-28,-1.1890626,-0.7022776,-0.96079135,-0.9445399,-0.06847893,1.3723829,0.13711771,0.85513586,0.44639626,-0.36893123,0.6573919,1.2722785,0.73124826,1.2774781,0.79959536
2017-08-04,-0.06708538,-0.82273966,-0.8229988,-1.2422699,-1.0651449,-1.0473151,0.50351685,0.8361675,0.6877831,1.2723585,1.6313231,1.0123993,0.6295466,1.4591563,0.30165902
2017-08-11,-0.6888986,-0.7940161,-1.1540893,-1.1530646,-0.008620274,0.577352,0.6126101,0.9854625,1.5890431,-1.0982856,0.8112457,0.79766965,0.95756733,0.24613461,1.413711
2017-08-18,-1.3931382,-0.17461294,-0.4793237,-0.17294429,-0.6554355,1.8613516,-0.29291236,0.2984742,-0.54641736,0.65180016,0.19191729,0.7828733,0.6192231,0.9684663,0.4983681
2017-08-25,-1.076232,-0.8146664,-1.1835726,-1.3199288,-0.3301319,0.81891316,0.56374836,1.1454562,0.9933068,-0.25683123,0.91603523,0.7358023,0.7587105,1.1331029,1.1243521
2017-09-01,-0.92586744,-0.2383468,-0.9549393,-0.7807525,-0.5159527,0.794233,0.11564812,0.58233166,0.7954104,-0.19454035,0.88484794,0.5435859,0.837739,0.5283982,1.1514261
2017-09-08,-1.0727614,-0.38848597,-1.2413118,-1.1329366,-0.52813506,0.09573375,0.25562206,1.0302894,0.79402184,-0.6064639,1.71972,0.5354819,1.0500335,1.161042,1.7365475
2017-09-15,-0.5401034,-0.80773044,-0.6955662,-0.61108667,-1.2769415,0.46371743,0.66395444,0.6174243,0.69428205,1.6780232,0.5699877,0.7493419,0.66504174,0.243605,0.2154395
2017-09-22,-0.9743984,-0.5724152,-0.9196341,-0.59606034,-0.35731536,0.21815652,0.7650899,0.7840868,0.01804233,-0.98157793,1.6022072,0.2791563,0.76496756,1.2737938,1.8997407
2017-09-29,-0.31575495,-0.6953971,-0.88782024,-0.8166345,-0.9222681,0.42672902,0.4607704,0.8948903,0.4966849,1.0115762,0.26835805,0.72740686,0.66105705,0.8336847,0.6782806
2017-10-06,-1.1942002,-0.9845429,-1.1878282,-1.0990299,-0.9330525,0.8428557,0.6374262,1.048905,0.4309006,0.8730725,1.0640115,1.0194724,1.001585,1.4757996,0.81069744
2017-10-13,-0.27314764,-0.42964008,-1.1823046,-0.7502687,-0.9331315,-0.14684549,0.34862256,0.97791255,0.083026506,1.1031878,0.8728486,0.45933628,0.9338092,1.2614375,0.66523427
