Date,gdpr1,gdpr2,cpi,bond20yr,bond30yr,fedfunds,cpir,wpir,unemp,employ,gdpr1_tr,gdpr2_tr,cpi_tr,bond20yr_tr,bond30yr_tr,fedfunds_tr,cpir_tr,wpir_tr,unemp_tr,employ_tr
2017-08-31,18076.6515,18127.994,2.4518,2.47,2.73,1.07,2.1314,4.4122,4.4,146907.0,18128.583404457582,18097.874027736674,2.453374768822269,2.724699539550108,2.8991243709307715,1.0079316426423874,2.3457014611947624,4.146646661524342,4.361408958116721,146893.51476428547
2017-09-29,18076.6515,18127.994,2.4644,2.63,2.86,1.06,2.1314,4.4122,4.3,146999.0,,,,,,,,,,
2017-10-31,18076.6515,18310.3,2.4663,2.66,2.88,1.07,2.1314,4.4122,4.2,147147.0,18193.718139720262,18277.347108738242,2.465859249075374,2.761932655140671,2.9742806563033506,1.1629388236766076,2.3511827628236164,4.2671256609954265,4.197327773003713,147154.51297638757
2017-11-30,18076.6515,18310.3,2.4728,2.65,2.83,1.07,2.1314,4.4122,4.2,147377.0,18230.07614724483,18313.691466611763,2.4733853007611115,2.55719505367024,2.7904846173876807,1.3505968533348316,2.353283750596603,4.206334197645566,4.178792322914011,147411.00000389523
2017-12-29,18076.6515,18310.3,2.4781,2.58,2.74,1.33,2.1314,4.4122,4.1,147521.0,,,,,,,,,,
2018-01-31,18609.0783,18437.127,2.4886,2.83,2.95,1.34,2.439,4.3487,4.0,147670.0,18418.71730438613,18416.186496200837,2.4856984429221507,2.7718409434586326,2.917973711921551,1.5475432163736893,2.600423786785169,4.206607698928032,3.9839839644661885,147601.8932373061
2018-02-28,18609.0783,18437.127,2.4953,3.02,3.13,1.35,2.439,4.3487,4.1,148058.0,18453.191443449938,18452.443975145507,2.493118726786778,2.8463657109682137,2.9808158641614515,1.4389367822750185,2.072451371307906,5.5569959586955555,4.065117359207706,148076.92740058788
2018-03-29,18609.0783,18437.127,2.4958,2.85,2.97,1.67,2.439,4.3487,4.0,148281.0,,,,,,,,,,
2018-04-30,18609.0783,18565.697,2.5023,3.01,3.11,1.69,2.439,4.3487,4.0,148426.0,18520.157472546416,18545.75582692428,2.499695888408823,2.8853126025629914,2.989426739361009,1.5766390290858896,2.106191460527573,4.935290874450908,4.038512098242973,148395.1373812501
2018-05-31,18609.0783,18565.697,2.5079,2.91,3.0,1.7,2.439,4.3487,3.8,148755.0,18557.20687619548,18579.840952092964,2.5072317802933117,2.9527424123264843,3.0459390386077274,1.6499546870939128,2.127513938316366,4.304569659948682,3.8520540193939476,148752.1598214136
2018-06-29,18609.0783,18565.697,2.5102,2.91,2.98,1.91,2.439,4.3487,4.0,148966.0,,,,,,,,,,
2018-07-31,18609.0783,18699.748,2.5121,3.03,3.08,1.91,2.439,4.3487,3.8,149022.0,18629.987369350954,18630.249869029896,2.5147528742241727,2.9894545991356765,3.0451979373332208,1.7541601973774918,2.1765656822425163,4.019738238197367,3.8192012850081034,149032.06161311656
2018-08-31,18609.0783,18699.748,2.5166,2.95,3.02,1.91,2.439,4.3487,3.8,149272.0,18662.42297870949,18664.79648196213,2.5194151771849334,3.310194869040378,3.3067798940659525,1.806693919241822,2.2023212408632777,3.803992237787207,3.758464335210229,149261.15914071063
2018-09-28,18609.0783,18699.748,2.5218,3.13,3.19,2.18,2.439,4.3487,3.7,149361.0,,,,,,,,,,
2018-10-31,18609.0783,18733.741,2.5277,3.3,3.39,2.2,2.439,4.3487,3.8,149526.0,18731.72353023588,18696.46245462287,2.5271376760404225,3.424494832277352,3.508471925829311,2.3146528771269104,2.2505554203872915,3.4912273968651015,3.7917913032798176,149542.15299357145
2018-11-30,18609.0783,18733.741,2.5259,3.19,3.3,2.2,2.439,4.3487,3.8,149622.0,18767.36056378516,18735.24422251335,2.5262782537188198,3.121024129584483,3.2901023114657324,2.5725592357935585,2.2709647964461643,3.262367892334259,3.7794706479129254,149654.3886480537
2018-12-31,18609.0783,18733.741,2.5277,2.87,3.02,2.4,2.439,4.3487,3.9,149805.0,18802.489577542226,18774.70214534382,2.526844004561572,2.7066351970308458,2.878185998275825,2.366801769192492,2.2878909304381985,3.0709432790999935,3.842480942124362,149851.61410590232
2019-01-31,19036.0523,18835.411,2.5272,2.83,2.99,2.4,1.8129,-1.044,4.0,150114.0,18840.787547593456,18823.478008457583,2.5245122961546826,2.808781862576783,2.9891571219097024,2.728051744263716,2.013536107660197,0.9197875571399028,3.9722538858679584,150013.3881332473
2019-02-28,19036.0523,18835.411,2.5332,2.94,3.09,2.4,1.8129,-1.044,3.8,150092.0,18876.50484569127,18863.961806433144,2.53491153598233,2.6339404961452577,2.809914943680769,2.5120238522009184,2.013152321084745,0.5221064721184192,3.740030455789752,150138.49078809452
2019-03-29,19036.0523,18835.411,2.542,2.63,2.81,2.43,1.8129,-1.044,3.8,150320.0,,,,,,,,,,
2019-04-30,19036.0523,18962.175,2.5521,2.75,2.93,2.45,1.8129,-1.044,3.6,150563.0,18943.70587636404,18932.97772121897,2.5466377058148093,2.5357150282322696,2.715461960128733,2.2971769779128293,2.0242222837760964,-0.26351298473084195,3.673401435837673,150512.13982129368
2019-05-31,19036.0523,18962.175,2.5529,2.39,2.58,2.4,1.8129,-1.044,3.7,150630.0,18981.94987833597,18969.93237141969,2.550865910630661,2.4271574009926478,2.6150213565443954,2.3241335549111484,2.032851377427344,-0.7171557355011839,3.761222779565661,150621.61978465208
2019-06-28,19036.0523,18962.175,2.5516,2.31,2.52,2.4,1.8129,-1.044,3.6,150797.0,,,,,,,,,,
2019-07-31,19036.0523,19130.932,2.5569,2.31,2.53,2.4,1.8129,-1.044,3.7,150879.0,19055.534224001698,19053.07068999845,2.5603828701072224,2.2767523150408318,2.4939566486623854,2.197992858826685,2.0525853552053825,-1.4386652815173413,3.7064543635309444,150931.0704178483
2019-08-30,19036.0523,19130.932,2.5606,1.78,1.96,2.13,1.8129,-1.044,3.7,151111.0,,,,,,,,,,
2019-09-30,19036.0523,19130.932,2.5651,1.94,2.12,1.9,1.8129,-1.044,3.5,151318.0,19127.308669100366,19128.03597366404,2.5663965249214034,2.1842478871286755,2.310609162378201,1.981836872671851,2.0732338287080423,-2.1999711721935427,3.610710894090504,151307.2913680224
2019-10-31,19036.0523,19215.691,2.5724,2.0,2.17,1.58,1.8129,-1.044,3.6,151447.0,19164.211194419444,19175.15034367947,2.5715534954313357,2.1433765367574025,2.3091901199866447,1.717590174052157,2.0833415167653735,-2.597882241291961,3.591829377855182,151470.70512225045
2019-11-29,19036.0523,19215.691,2.578,2.07,2.21,1.56,1.8129,-1.044,3.6,151662.0,,,,,,,,,,
2019-12-31,19036.0523,19215.691,2.5862,2.25,2.39,1.55,1.8129,-1.044,3.6,151764.0,19235.500908147304,19257.821591961798,2.583848660832349,2.067087937975399,2.221780579465119,1.508525329295813,2.101977206960999,-3.385031121234473,3.517958856444543,151826.83919487588
2020-01-31,18509.1428,18989.877,2.5904,1.83,1.99,1.59,1.2513,-2.7317,3.5,152098.0,18308.381723910225,18987.228915109103,2.5881954816006085,1.8534193970782245,2.0255369513575414,2.0450876917883325,1.7149622284769515,1.3414698067560393,3.458500229349272,151963.77672207166
