Date,Pos_lag1,Pos_lag2,Pos_lag3,Neg_lag1,Neg_lag2,Neg_lag3,Neu_lag1,Neu_lag2,Neu_lag3
2015-08-04,-0.6210481,-0.5809499,-0.33344042,-0.462199,0.3398991,-0.35866404,1.6487991,0.8015438,0.92017525
2015-08-05,-0.54073983,-0.6210481,-0.5809499,0.108533636,-0.462199,0.3398991,0.96746886,1.6487991,0.8015438
2015-08-06,-0.8795591,-0.54073983,-0.6210481,0.97790945,0.108533636,-0.462199,0.66944754,0.96746886,1.6487991
2015-08-07,-0.058410764,-0.8795591,-0.54073983,-0.931252,0.97790945,0.108533636,1.2758663,0.66944754,0.96746886
2015-08-08,-0.9204039,-0.058410764,-0.8795591,0.6476305,-0.931252,0.97790945,1.0586419,1.2758663,0.66944754
2015-08-09,-1.0951235,-0.9204039,-0.058410764,1.0780463,0.6476305,-0.931252,0.87901795,1.0586419,1.2758663
2015-08-10,-0.6244685,-1.0951235,-0.9204039,-0.26014054,1.0780463,0.6476305,1.3886427,0.87901795,1.0586419
2015-08-11,-1.0501534,-0.6244685,-1.0951235,0.4559882,-0.26014054,1.0780463,1.2773371,1.3886427,0.87901795
2015-08-12,-0.61386997,-1.0501534,-0.6244685,0.5979607,0.4559882,-0.26014054,0.61349064,1.2773371,1.3886427
2015-08-13,-1.0364106,-0.61386997,-1.0501534,1.4833748,0.5979607,0.4559882,0.24411994,0.61349064,1.2773371
2015-08-14,-1.0986936,-1.0364106,-0.61386997,0.45361483,1.4833748,0.5979607,1.3991988,0.24411994,0.61349064
2015-08-15,-0.6578469,-1.0986936,-1.0364106,-0.05620475,0.45361483,1.4833748,1.3060082,1.3991988,0.24411994
2015-08-16,-0.5745505,-0.6578469,-1.0986936,-0.62534815,-0.05620475,0.45361483,1.805157,1.3060082,1.3991988
2015-08-17,-1.3000187,-0.5745505,-0.6578469,1.2807838,-0.62534815,-0.05620475,0.84278536,1.805157,1.3060082
2015-08-18,-0.9334507,-1.3000187,-0.5745505,0.0465542,1.2807838,-0.62534815,1.6424817,0.84278536,1.805157
2015-08-19,-1.0394129,-0.9334507,-1.3000187,0.86452806,0.0465542,1.2807838,0.8694493,1.6424817,0.84278536
2015-08-20,-0.96922064,-1.0394129,-0.9334507,0.83632016,0.86452806,0.0465542,0.9147278,0.8694493,1.6424817
2015-08-21,-0.9414019,-0.96922064,-1.0394129,0.5358732,0.83632016,0.86452806,1.0460587,0.9147278,0.8694493
2015-08-22,-0.7873629,-0.9414019,-0.96922064,0.19269435,0.5358732,0.83632016,1.2099468,1.0460587,0.9147278
2015-08-23,-1.0783659,-0.7873629,-0.9414019,0.96800786,0.19269435,0.5358732,0.7575615,1.2099468,1.0460587
2015-08-24,-0.90229505,-1.0783659,-0.7873629,0.16410114,0.96800786,0.19269435,1.5237228,0.7575615,1.2099468
2015-08-25,-1.2738131,-0.90229505,-1.0783659,1.2164541,0.16410114,0.96800786,0.8603383,1.5237228,0.7575615
2015-08-26,-0.74142885,-1.2738131,-0.90229505,0.32771617,1.2164541,0.16410114,0.7466034,0.8603383,1.5237228
2015-08-27,-0.28697935,-0.74142885,-1.2738131,-0.19712874,0.32771617,1.2164541,1.0528892,0.7466034,0.8603383
2015-08-28,-0.35059842,-0.28697935,-0.74142885,0.81414354,-0.19712874,0.32771617,-0.17900246,1.0528892,0.7466034
2015-08-29,-1.2966629,-0.35059842,-0.28697935,1.3909543,0.81414354,-0.19712874,0.8400944,-0.17900246,1.0528892
2015-08-30,-0.5286307,-1.2966629,-0.35059842,-0.30244216,1.3909543,0.81414354,1.5482888,0.8400944,-0.17900246
2015-08-31,0.30110618,-0.5286307,-1.2966629,-1.3327988,-0.30244216,1.3909543,1.3062531,1.5482888,0.8400944
2015-09-01,-0.6247976,0.30110618,-0.5286307,0.34129304,-1.3327988,-0.30244216,0.81291735,1.3062531,1.5482888
