Date,5. adjusted close,6. volume,direction,Symbol
2014-11-28,16.3013,12051019,0,TSLA
2014-11-21,16.1853,27490754,1,TSLA
2014-11-14,17.2453,30737772,0,TSLA
2014-11-07,16.0133,37451505,1,TSLA
2014-10-31,16.1133,32040983,0,TSLA
2014-10-24,15.6827,18720237,1,TSLA
2014-10-17,15.1653,43496954,1,TSLA
2014-10-10,15.794,37532830,0,TSLA
2014-10-03,17.014,29459990,0,TSLA
2014-09-26,16.44,26239129,1,TSLA
2014-09-19,17.288,40436700,0,TSLA
2014-09-12,18.6133,20932400,0,TSLA
2014-09-05,18.4927,36062000,1,TSLA
2014-08-29,17.98,20403100,1,TSLA
2014-08-22,17.1187,19936100,1,TSLA
2014-08-15,17.4673,29354100,0,TSLA
2014-08-08,16.542,33121300,1,TSLA
2014-08-01,15.5513,34388400,1,TSLA
2014-07-25,14.9047,15968100,1,TSLA
2014-07-18,14.668,25869300,1,TSLA
2014-07-11,14.542,26011500,1,TSLA
2014-07-03,15.2833,22358800,0,TSLA
2014-06-27,15.9373,32425000,0,TSLA
2014-06-20,15.306,47077000,1,TSLA
2014-06-13,13.7613,19835900,1,TSLA
2014-06-06,13.8781,19071700,0,TSLA
2014-05-30,13.8513,20109800,1,TSLA
2014-05-23,13.82,25624500,1,TSLA
2014-05-16,12.7707,30034300,1,TSLA
2014-05-09,12.1507,49514800,1,TSLA
2014-05-02,14.0607,26788400,0,TSLA
2014-04-25,13.3233,34850400,1,TSLA
2014-04-17,13.208,34491300,1,TSLA
2014-04-11,13.5853,38181400,0,TSLA
2014-04-04,14.1483,48803000,0,TSLA
2014-03-28,14.158,45282000,0,TSLA
2014-03-21,15.2593,29261000,0,TSLA
2014-03-14,15.398,40818600,0,TSLA
2014-03-07,16.414,42944000,0,TSLA
2014-02-28,16.3207,98100300,1,TSLA
2014-02-21,13.9733,51322900,1,TSLA
2014-02-14,13.2153,43041600,1,TSLA
2014-02-07,12.4353,33489300,1,TSLA
2014-01-31,12.094,35819100,1,TSLA
2014-01-24,11.64,32289000,1,TSLA
2014-01-17,11.334,75554300,1,TSLA
2014-01-10,9.7147,29386500,1,TSLA
2014-01-03,9.9707,19613300,0,TSLA
2013-12-27,10.0747,27916700,0,TSLA
2013-12-20,9.5493,48904800,1,TSLA
2013-12-13,9.8436,48307200,0,TSLA
2013-12-06,9.1573,63779300,1,TSLA
2013-11-29,8.4853,46236600,1,TSLA
2013-11-22,8.092,79804500,1,TSLA
2013-11-15,9.03,63745000,0,TSLA
2013-11-08,9.1967,111421800,0,TSLA
2013-11-01,10.8113,46869600,0,TSLA
2013-10-25,11.3107,54660400,0,TSLA
2013-10-18,12.2267,39589300,0,TSLA
2013-10-11,11.9133,57754300,1,TSLA
2013-10-04,12.0653,75686500,0,TSLA
2013-09-27,12.7267,35230300,0,TSLA
2013-09-20,12.226,47507800,1,TSLA
2013-09-13,11.036,40706000,1,TSLA
2013-09-06,11.1313,38841800,0,TSLA
2013-08-30,11.2667,76942500,0,TSLA
2013-08-23,10.7893,44246500,1,TSLA
2013-08-16,9.4667,52642200,1,TSLA
2013-08-09,10.2,73841900,0,TSLA
2013-08-02,9.2,40751100,1,TSLA
