Date,adjusted_close,volume,direction,Symbol,volatility
2017-12-29,110.1171,175640154,0,V,1.375315721425448
2018-01-31,119.9776,144967375,1,V,1.2499790772648935
2018-02-28,118.9357,183890719,1,V,3.1202309128652645
2018-03-29,115.7238,182392051,0,V,3.6701047443363257
2018-04-30,122.7474,165231144,0,V,4.451263466657529
2018-05-31,126.6667,147562270,0,V,4.911336475787421
2018-06-29,128.343,154720393,0,V,4.869195721841545
2018-07-31,132.5,161562542,0,V,3.6029911165030657
2018-08-31,142.5478,143157273,0,V,3.4146963218418147
2018-09-28,145.6532,147500495,1,V,2.892590181135241
2018-10-31,133.775,254092004,0,V,2.8676890505073946
2018-11-30,137.7633,208766205,1,V,7.234341354290656
2018-12-31,128.2654,242677721,0,V,7.309339295887142
2019-01-31,131.2499,193205412,0,V,8.41693178192623
2019-02-28,144.2463,154776247,0,V,6.931529659000233
2019-03-29,152.1052,207401562,0,V,9.215487575033665
2019-04-30,160.1297,136490658,1,V,7.4631542569077265
2019-05-31,157.349,147282119,0,V,7.669778318673881
2019-06-28,169.2675,158885114,0,V,5.3390953797062
2019-07-31,173.6077,126736340,0,V,5.581696430441209
2019-08-30,176.6082,154470525,1,V,4.946853914317682
2019-09-30,168.0034,171931176,0,V,4.9383493088278145
2019-10-31,174.6939,162923578,0,V,6.917612647901021
2019-11-29,180.513,134065026,0,V,6.760580457741787
2019-12-31,183.8296,160394084,0,V,5.571631365049203
2020-01-31,194.6598,183582543,0,V,5.509495185368626
